ID,Income ,2016,2015,2014,2013,2012,2012,2011,2010,2009,2008,2007,2006,2005
35,"Less than 35,000",115369,120245,109634,145320,95910,193751,193751.04,93008,87195,84670,113042.7,124778.72,139849.74
49,"35,000 to 49,999",79871,85889,78310,72660,63940,96875,96875,58130,58130,56447,75361.8,85785.37,101002.59
74,"50,000 to 74,999",150867,146012,125296,130788,108698,127149,127149,104634,110447,101605,150723.6,155973.4,163158.03
99,"75,000 to 99,999",133118,128834,117465,108990,89516,72656,72656,87195,87195,84670,120578.88,124778.72,124310.88
100,"100,000 or more ",390480,360736,336733,254310,255760,96875,96875,226707,220894,225789,278838.66,265154.78,233082.9
